Metric,Mean,Min,Max,Unit
Req,3.0,3.0,3.0,Req per wave
Hits,2.6971973762671437,2.6971973762671437,2.6971973762671437,Req per wave
Misses - Non Duplicated,0.013357185450208706,0.013357185450208706,0.013357185450208706,Req per wave
Misses- Duplicated,0.28944543828264757,0.28944543828264757,0.28944543828264757,Req per wave
Cache Hit,89.90657920890479,89.90657920890479,89.90657920890479,Pct
Read Req (Total),3.0,3.0,3.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Read Req (1 DWord),1.0,1.0,1.0,Req per wave
Read Req (2 DWord),0.0,0.0,0.0,Req per wave
Read Req (4 DWord),1.0,1.0,1.0,Req per wave
Read Req (8 DWord),1.0,1.0,1.0,Req per wave
Read Req (16 DWord),0.0,0.0,0.0,Req per wave
